date,wordcount,chapter,work,author
2019-05-28,4016,Taking the Fall,Worth the Candle,Alexander Wales
2019-05-29,4481,Thickenings,Worth the Candle,Alexander Wales
2019-05-29,4381,Solely Responsible,Worth the Candle,Alexander Wales
2019-05-30,4669,Reaver,Worth the Candle,Alexander Wales
2019-05-30,5584,Goraion,Worth the Candle,Alexander Wales
2019-05-31,6329,Cold Comfort,Worth the Candle,Alexander Wales
2019-05-31,3824,Twenty Questions,Worth the Candle,Alexander Wales
2019-06-01,3721,Diamond and Iron,Worth the Candle,Alexander Wales
2019-06-01,4080,Making Magic,Worth the Candle,Alexander Wales
2019-06-02,4019,Sewer Rat,Worth the Candle,Alexander Wales
2019-06-02,4488,A Winding Course,Worth the Candle,Alexander Wales
2019-06-03,3468,Life of the Party,Worth the Candle,Alexander Wales
2019-06-03,5229,Time Out,Worth the Candle,Alexander Wales
2019-06-04,6581,ELEVATOR facts,Worth the Candle,Alexander Wales
2019-06-04,4649,Whys and Wherefores,Worth the Candle,Alexander Wales
2019-06-05,4559,Kindly Bones,Worth the Candle,Alexander Wales
2019-06-06,4156,Voting Blocs,Worth the Candle,Alexander Wales
2019-06-06,4798,Communal,Worth the Candle,Alexander Wales
2019-06-07,3977,Montage!,Worth the Candle,Alexander Wales
2019-06-07,5615,Desert Course,Worth the Candle,Alexander Wales
2019-06-08,4714,Cliff Racer,Worth the Candle,Alexander Wales
2019-06-08,4821,Rolling Need,Worth the Candle,Alexander Wales
2019-06-09,7736,Siege,Worth the Candle,Alexander Wales
2019-06-09,4872,Like a Glove,Worth the Candle,Alexander Wales
2019-06-10,4723,Rocket Man,Worth the Candle,Alexander Wales
2019-06-10,4959,Superman,Worth the Candle,Alexander Wales
2019-06-11,4456,Fears,Worth the Candle,Alexander Wales
2019-06-11,5275,The Impish Inn,Worth the Candle,Alexander Wales
2019-06-12,5555,Greychapel,Worth the Candle,Alexander Wales
2019-06-13,3616,Plot Relevant,Worth the Candle,Alexander Wales
2019-06-13,4096,The Loyal Elf,Worth the Candle,Alexander Wales
2019-06-14,4178,Be Still My Heart,Worth the Candle,Alexander Wales
2019-06-14,3948,Tenth,Worth the Candle,Alexander Wales
2019-06-15,5199,Weik Handum,Worth the Candle,Alexander Wales
2019-06-15,5643,Friendship is Magic,Worth the Candle,Alexander Wales
2019-06-16,4535,In Which Juniper Stares At His Character Sheet,Worth the Candle,Alexander Wales
2019-06-16,4505,Paths,Worth the Candle,Alexander Wales
2019-06-17,6260,Don't Split the Party,Worth the Candle,Alexander Wales
2019-06-17,4300,Strategic Reserves,Worth the Candle,Alexander Wales
2019-06-18,5011,The Feminine Mystique,Worth the Candle,Alexander Wales
2019-06-19,5246,Truth and Reconciliation,Worth the Candle,Alexander Wales
2019-06-19,3165,A Pleasant Interlude in Kansas,Worth the Candle,Alexander Wales
2019-06-20,3879,In Search of a Quest,Worth the Candle,Alexander Wales
2019-06-20,5884,Mairzy Doats and Dozy Doats,Worth the Candle,Alexander Wales
2019-06-21,5497,Keep Magic Weird,Worth the Candle,Alexander Wales
2019-06-21,4789,The Market of Blood and Bone,Worth the Candle,Alexander Wales
2019-06-22,6026,At Arm's Length,Worth the Candle,Alexander Wales
2019-06-22,4323,"Doe or Doe Not, There is no Try",Worth the Candle,Alexander Wales
2019-06-23,5600,Math.random(),Worth the Candle,Alexander Wales
2019-06-23,10366,Copse and Robbers,Worth the Candle,Alexander Wales
2019-06-24,6148,Blood in the Water,Worth the Candle,Alexander Wales
2019-06-24,4576,Culmination,Worth the Candle,Alexander Wales
2019-06-25,4022,A Tiptoe Through the Tulips,Worth the Candle,Alexander Wales
2019-06-26,6710,Looper,Worth the Candle,Alexander Wales
2019-06-26,4441,Bond Girl,Worth the Candle,Alexander Wales
2019-06-27,4891,Vacation Vocations,Worth the Candle,Alexander Wales
2019-06-27,6081,Place Your Figs,Worth the Candle,Alexander Wales
2019-06-28,4229,Panopticon,Worth the Candle,Alexander Wales
2019-06-28,5503,All the Myriad Ways,Worth the Candle,Alexander Wales
2019-06-29,7085,Aggressive Negotiations,Worth the Candle,Alexander Wales
2019-06-29,6846,Animus,Worth the Candle,Alexander Wales
2019-06-30,8616,Drift,Worth the Candle,Alexander Wales
2019-07-01,3748,The Chemical History of a Candle,Worth the Candle,Alexander Wales
2019-07-01,6340,"In Which Juniper Stares At His Character Sheet, Again",Worth the Candle,Alexander Wales
2019-07-02,7175,A Kindred Soul,Worth the Candle,Alexander Wales
2019-07-02,7065,The Long Night,Worth the Candle,Alexander Wales
2019-07-03,5696,A Helping Hand,Worth the Candle,Alexander Wales
2019-07-04,4067,Seeing Red,Worth the Candle,Alexander Wales
2019-07-04,4940,In Mutual Congress,Worth the Candle,Alexander Wales
2019-07-04,8634,Moral Agency,Worth the Candle,Alexander Wales
2019-07-05,6651,The Soul of Discretion,Worth the Candle,Alexander Wales
2019-07-06,5703,Tripartite Talks,Worth the Candle,Alexander Wales
2019-07-06,11137,Amaryllis,Worth the Candle,Alexander Wales
2019-07-07,4268,The Mouth of a Long River,Worth the Candle,Alexander Wales
2019-07-07,1830,Stats for Nerds,Worth the Candle,Alexander Wales
2019-07-08,11967,Date Night,Worth the Candle,Alexander Wales
2019-07-08,3461,Lies and Damned Lies,Worth the Candle,Alexander Wales
2019-07-09,7315,The Sacrifice,Worth the Candle,Alexander Wales
2019-07-09,5609,Rule Zero,Worth the Candle,Alexander Wales
2019-07-10,5528,The Princess and the Pea,Worth the Candle,Alexander Wales
2019-07-10,4355,Musings on the Elder God,Worth the Candle,Alexander Wales
2019-07-11,3084,Aboard the Lion's Tail,Worth the Candle,Alexander Wales
