date,wordcount,chapter,work,author
2020-10-23,1133,Prologue,Tower of Somnus,CoCop
2020-10-24,2381,Chapter 1,Tower of Somnus,CoCop
2020-10-24,3135,Chapter 2,Tower of Somnus,CoCop
2020-11-01,2447,Chapter 3,Tower of Somnus,CoCop
2020-11-01,2446,Chapter 4,Tower of Somnus,CoCop
2020-11-01,2650,Chapter 5,Tower of Somnus,CoCop
2020-11-02,2421,Chapter 6,Tower of Somnus,CoCop
2020-11-03,3720,Chapter 7,Tower of Somnus,CoCop
2020-11-03,2510,Chapter 8,Tower of Somnus,CoCop
2020-11-04,3950,Chapter 9,Tower of Somnus,CoCop
2020-11-05,4245,Chapter 10,Tower of Somnus,CoCop
2020-11-05,2851,Chapter 11,Tower of Somnus,CoCop
2020-11-06,2907,Chapter 12,Tower of Somnus,CoCop
2020-11-07,2725,Chapter 13,Tower of Somnus,CoCop
2020-11-07,2599,Chapter 14,Tower of Somnus,CoCop
2020-11-08,2614,Chapter 15,Tower of Somnus,CoCop
2020-11-10,3265,Chapter 16,Tower of Somnus,CoCop
2020-11-11,3348,Chapter 17,Tower of Somnus,CoCop
2020-11-12,3816,Chapter 18,Tower of Somnus,CoCop
2020-11-13,2796,Chapter 19,Tower of Somnus,CoCop
2020-11-14,2408,Chapter 20,Tower of Somnus,CoCop
2020-11-15,4014,Chapter 21,Tower of Somnus,CoCop
2020-11-16,4495,Chapter 22,Tower of Somnus,CoCop
2020-11-17,3016,Chapter 23,Tower of Somnus,CoCop
2020-11-18,4087,Chapter 24,Tower of Somnus,CoCop
2020-11-19,3128,Chapter 25,Tower of Somnus,CoCop
2020-11-20,3534,Chapter 26,Tower of Somnus,CoCop
2020-11-21,2648,Chapter 27,Tower of Somnus,CoCop
2020-11-22,4056,Chapter 28,Tower of Somnus,CoCop
2020-11-23,3286,Chapter 29,Tower of Somnus,CoCop
2020-11-24,2854,Chapter 30,Tower of Somnus,CoCop
2020-11-25,3910,Chapter 31,Tower of Somnus,CoCop
2020-11-26,3000,Chapter 32,Tower of Somnus,CoCop
2020-11-27,4941,Chapter 33,Tower of Somnus,CoCop
2020-11-28,3930,Chapter 34,Tower of Somnus,CoCop
2020-11-29,2815,Chapter 35,Tower of Somnus,CoCop
2020-11-30,4281,Chapter 36,Tower of Somnus,CoCop
2020-12-02,4982,Chapter 37,Tower of Somnus,CoCop
2020-12-03,4252,Chapter 38,Tower of Somnus,CoCop
2020-12-05,2319,Chapter 39 ,Tower of Somnus,CoCop
2020-12-12,2525,Epilogue - Book One,Tower of Somnus,CoCop
2020-06-03,686,Prologue - A Blessed World,Blessed Time,CoCop
2020-06-03,2443,Chapter 1 - A Good Night's Sleep,Blessed Time,CoCop
2020-06-04,2054,Chapter 2 - Mythic?,Blessed Time,CoCop
2020-06-05,2612,Chapter 3 - A New Life,Blessed Time,CoCop
2020-06-06,1678,Chapter 4 - Newbie,Blessed Time,CoCop
2020-06-07,2248,Chapter 5 - The First Quest,Blessed Time,CoCop
2020-06-08,2276,Chapter 6 - Adventure,Blessed Time,CoCop
2020-06-09,2242,Chapter 7 - Dungeoneering,Blessed Time,CoCop
