date,wordcount,chapter,work,author
2020-03-15,2909,1. Putting the Hell in Helpdesk,Doing God's Work,Csuite
2020-03-16,2490,2. Task Manager of the Gods,Doing God's Work,Csuite
2020-03-16,2006,3. Kidnapping is Bad for Public Relations,Doing God's Work,Csuite
2020-03-17,3392,4. Prophecy and Your Career: A Primer,Doing God's Work,Csuite
2020-03-17,3166,5. Tea Break,Doing God's Work,Csuite
2020-03-17,4138,6. Armageddon Violates our Code of Conduct,Doing God's Work,Csuite
2020-03-18,1936,7. Occupational Health and Summonings,Doing God's Work,Csuite
2020-03-19,2127,8. International Day of Discord,Doing God's Work,Csuite
2020-03-19,3139,9. Drinks with the Enemy,Doing God's Work,Csuite
2020-03-20,1816,10. Smiting is Worse With Computers,Doing God's Work,Csuite
2020-03-21,2468,11. Now Hiring Obvious Thugs,Doing God's Work,Csuite
2020-03-21,1789,12. Why No One Likes Prophecy,Doing God's Work,Csuite
2020-03-22,2899,13. Two Gods Walk Into a Scuba Shop,Doing God's Work,Csuite
2020-03-22,2805,14. Friends in High Places,Doing God's Work,Csuite
2020-03-23,2526,15. Team-Building Exercise,Doing God's Work,Csuite
2020-03-24,2934,16. Power Grab,Doing God's Work,Csuite
2020-03-24,2100,17. Costs of Cutting Corners,Doing God's Work,Csuite
2020-03-25,3085,18. Come See Me in my Office,Doing God's Work,Csuite
2020-03-25,2086,19. Seizing Assets,Doing God's Work,Csuite
2020-03-26,2324,20. Joint Venture Investor Relations,Doing God's Work,Csuite
2020-03-26,2270,21. Long-Term Strategic Objectives,Doing God's Work,Csuite
2020-03-27,2397,22. Unqualified to Induct Demons,Doing God's Work,Csuite
2020-03-28,1997,23. The Art of the Non-Apology,Doing God's Work,Csuite
2020-03-28,2120,24. Whistleblower,Doing God's Work,Csuite
2020-03-29,2895,25. Zero Days Since the Last Safety Incident,Doing God's Work,Csuite
2020-03-29,2972,26. Is the Pope a Catholic?,Doing God's Work,Csuite
2020-03-30,2519,27. The Right People at the Right Time,Doing God's Work,Csuite
2020-03-30,2399,28. In a Room Together Talking,Doing God's Work,Csuite
2020-03-31,2805,29. Pacts are Just Contract Law,Doing God's Work,Csuite
2020-03-31,3125,30. Hurts Like The Devil,Doing God's Work,Csuite
2020-04-01,2394,31. Not Anymore,Doing God's Work,Csuite
2020-04-01,3032,32. Demons and Angels,Doing God's Work,Csuite
2020-04-02,2602,33. Worker's Comp Doesn't Cover the Time Loop,Doing God's Work,Csuite
2020-04-02,2378,34. Mergers,Doing God's Work,Csuite
2020-04-03,2844,35. Up for Interpretation,Doing God's Work,Csuite
2020-04-03,3628,36. Emergency Media Relations,Doing God's Work,Csuite
2020-04-04,2252,37. Footing the Bill,Doing God's Work,Csuite
2020-04-04,2766,38. Where the Wild Managers Don't Go,Doing God's Work,Csuite
2020-04-05,2508,39. Eye of the Executive,Doing God's Work,Csuite
2020-04-05,3746,40. Putting the Hel in Helpdesk,Doing God's Work,Csuite
2020-04-06,2408,41. Content Creation for Clairvoyants,Doing God's Work,Csuite
2020-04-06,3414,42. Adoration-Based Economics,Doing God's Work,Csuite
2020-04-07,1954,43. The Immortal Trade,Doing God's Work,Csuite
2020-04-07,2536,44. On Officers and Oracles,Doing God's Work,Csuite
2020-04-08,2132,45. Back in Business,Doing God's Work,Csuite
2020-04-08,1766,46. Dealing with Demons,Doing God's Work,Csuite
2020-04-09,1865,47. The Dimensions of Demotion,Doing God's Work,Csuite
2020-04-09,3759,48. Worst Part of the Job,Doing God's Work,Csuite
2020-04-10,3836,49. Professional Boundaries,Doing God's Work,Csuite
2020-04-10,1788,50. No One Can Exorcise Legal Fees,Doing God's Work,Csuite
2020-04-11,1917,51. Poor Life Decisions,Doing God's Work,Csuite
2020-04-11,2196,52. Mind Games,Doing God's Work,Csuite
2020-04-14,2732,53. The Soul Jar is Available at 2:30pm,Doing God's Work,Csuite
2020-04-15,2303,54. Bigger Than You,Doing God's Work,Csuite
2020-04-20,2709,55. Into Lockdown,Doing God's Work,Csuite
2020-04-22,2598,56. Destructive Management Techniques,Doing God's Work,Csuite
2020-04-28,2450,57. Apocalypse-Resistant Building Standards,Doing God's Work,Csuite
2020-05-05,2313,58. Spiders and Saints,Doing God's Work,Csuite
2020-05-11,2180,59. All in the Execution,Doing God's Work,Csuite
2020-05-18,2445,60. How to Spearhead a Hostile Takeover,Doing God's Work,Csuite
2020-05-26,3689,61. Smoke and Mirrors,Doing God's Work,Csuite
2020-06-02,1739,62. Screening Process,Doing God's Work,Csuite
2020-06-10,4057,63. All the King's Iterative Workflows Couldn't Put it Back Together,Doing God's Work,Csuite
2020-06-16,1949,64. Invocation through Proper Channels,Doing God's Work,Csuite
2020-06-22,2866,65. The Afterlife Gets Poor User Feedback,Doing God's Work,Csuite
2020-07-01,2586,66. Terms and Conditions,Doing God's Work,Csuite
2020-07-09,3760,67. Floating Capital,Doing God's Work,Csuite
2020-07-15,3714,68. Toxic Influences,Doing God's Work,Csuite
2020-07-26,2133,69. Retrospective Debrief,Doing God's Work,Csuite
2020-08-01,3301,70. Devil's in the Details,Doing God's Work,Csuite
2020-08-10,3012,71. Self-Reflection in the Mirrorverse,Doing God's Work,Csuite
2020-08-21,3523,72. Pyramid Scheme,Doing God's Work,Csuite
2020-08-30,2454,73. Exit Interview,Doing God's Work,Csuite
2020-09-15,2714,74. The Consequences of Putting Things in Writing,Doing God's Work,Csuite
2020-09-21,1718,"75. Lies, Lies and Deadlines",Doing God's Work,Csuite
2020-10-04,3057,76. Inescapable Losses,Doing God's Work,Csuite
2020-10-15,3472,77. Destiny,Doing God's Work,Csuite
2020-10-25,3916,78. The Absent Sun,Doing God's Work,Csuite
2020-11-11,264,Author's Update,Doing God's Work,Csuite
2020-12-10,2572,79. Acting Up,Doing God's Work,Csuite
2020-11-02,1898,1. Beware Idiots Bearing Gifts,Escape from Idiocia,Csuite
2020-11-02,1673,"2. Yes, Even the Vampires Are Idiots",Escape from Idiocia,Csuite
2020-11-03,1838,3. Six Cute Ways to Sic Nyarlathotep on Your Cheating Ex,Escape from Idiocia,Csuite
2020-11-04,1734,4. Vampire is a Minimum-Wage Position,Escape from Idiocia,Csuite
2020-11-06,3551,5. When Terrifying People Drop Terrifying Rhetoric,Escape from Idiocia,Csuite
2020-11-08,2069,6. Library of the Broken Books,Escape from Idiocia,Csuite
2020-11-09,2470,7. Everyone Overlooked the Undead in the School Curriculum,Escape from Idiocia,Csuite
2020-11-10,1958,"8. Where There's a Will, There's a Wisp",Escape from Idiocia,Csuite
2020-11-11,1645,9. The Mind Collapse Game,Escape from Idiocia,Csuite
2020-11-12,1930,"10. We're Not Sure If It's God, But We Hope It Isn't",Escape from Idiocia,Csuite
2020-11-13,2489,"11. Eye of Unicorn, Tail of Puppy",Escape from Idiocia,Csuite
2020-11-15,3364,12. The Game Master's Secrets,Escape from Idiocia,Csuite
2020-11-16,1379,"13. Toto, I Think We Just Unabstractified Kansas",Escape from Idiocia,Csuite
2020-11-17,1440,14. This is Fine.,Escape from Idiocia,Csuite
2020-11-18,1176,15. Dimensional Gates and You: 10 Hot New Tips!,Escape from Idiocia,Csuite
2020-11-21,3161,16. Happy Endings Don't Solve Problems,Escape from Idiocia,Csuite
2020-11-22,3545,17. Enigmatic Mysteries of Women's Potato,Escape from Idiocia,Csuite
2020-11-24,1040,REDACTED CHAPTER NUMBER: AI Blooper Reel,Escape from Idiocia,Csuite
2020-11-25,2886,18. Wreckage of the Wayward Wand,Escape from Idiocia,Csuite
2020-11-26,1326,19. Entity Residue,Escape from Idiocia,Csuite
2020-11-26,1429,20. A Brief History of Idiocy,Escape from Idiocia,Csuite
2020-11-28,2986,21. Old Plans and New,Escape from Idiocia,Csuite
2020-11-29,2918,22. Bruce's Wellness Emporium and Spiritual,Escape from Idiocia,Csuite
2020-11-30,1598,23. Winging It With Alchemy,Escape from Idiocia,Csuite
2020-11-30,1570,24. Hardcore Metaphor Divination Mode,Escape from Idiocia,Csuite
2020-12-04,1902,"25. Answers, Part One",Escape from Idiocia,Csuite
2020-12-04,2766,26. The Chapter Where Everyone Explodes.,Escape from Idiocia,Csuite
2020-10-17,4559,Mandala,Mistakes Were Made: Short Stories That Shouldn't Be,Csuite
2020-10-18,2406,Crime Against Humanity,Mistakes Were Made: Short Stories That Shouldn't Be,Csuite
2020-11-10,623,Long Live the Empire,Mistakes Were Made: Short Stories That Shouldn't Be,Csuite
2020-07-01,6495,Loki vs the Fake Coupon Lady,Tales from the Divine Helpdesk,Csuite
