date,wordcount,chapter,work,author
2019-04-16,1186,0 - Prologue,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-06,1691,1.1 - Departure,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-06,1627,1.2 - Departure,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-06,1992,1.3 - Departure,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-06,1434,1.4 - Departure,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-07,1619,1.5 - Departure,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-07,1075,1.6 - Departure,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-07,1113,1.7 - Departure,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-09,1866,2.1 Inundation,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-09,1189,2.2 - Inundation,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-09,1034,2.3 - Inundation,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-10,1344,3.1 - A Close Call,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-11,1211,3.2 - A Close Call,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-12,1118,3.3 - A Close Call,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-12,1115,3.4 - A Close Call,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-13,902,3.5 - A Close Call,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-13,1061,4.1 - A New Path,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-14,1110,4.2 - A New Path,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-14,1357,4.3 - A New Path,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-14,1109,5.1 - Cursed With A Daemonic Overlord,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-16,1071,5.2 - Cursed With A Daemon,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-16,1294,6.1 - The Pervy Priest,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-16,1376,6.2 - Pervy Priest,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-17,1222,7.1 - The Art of War,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-09-17,1044,7.2 - The Art of War,Ithalon: The Glass Cannon,"Origin, The Creator"
2020-10-15,1618,7.3 - The Art of War,Ithalon: The Glass Cannon,"Origin, The Creator"
