date,wordcount,chapter,work,author
2020-11-01,1024,Prologue,Dead Tired,RavensDagger
2020-11-01,2160,Chapter One - A Rude Awakening,Dead Tired,RavensDagger
2020-11-02,2095,Chapter Two - A Butler a Day,Dead Tired,RavensDagger
2020-11-03,2031,Chapter Three - A View of the Future,Dead Tired,RavensDagger
2020-11-04,2046,Chapter Four - A Hint of Civilisation,Dead Tired,RavensDagger
2020-11-05,2038,Chapter Five - A Novel Idea,Dead Tired,RavensDagger
2020-11-06,2074,Chapter Six - A Limpet and Books,Dead Tired,RavensDagger
2020-11-07,1960,Chapter Seven - A Picture of the Wider World,Dead Tired,RavensDagger
2020-11-08,2095,Chapter Eight - A Failure of Guest Rights,Dead Tired,RavensDagger
2020-11-09,2039,Chapter Nine - A Mediocre Battle,Dead Tired,RavensDagger
2020-11-10,2251,Chapter Ten - A Small Skirmish,Dead Tired,RavensDagger
2020-11-11,2143,Chapter Eleven - A Test Subject,Dead Tired,RavensDagger
2020-11-13,2030,Chapter Twelve - A Need to Experiment,Dead Tired,RavensDagger
2020-11-13,2054,Chapter Thirteen - A Chilling Touch,Dead Tired,RavensDagger
2020-11-14,2050,Chapter Fourteen - A Reason to Go,Dead Tired,RavensDagger
2020-11-15,2119,Chapter Fifteen - A Desperate Motion,Dead Tired,RavensDagger
2020-11-16,2090,Chapter Sixteen - A Good Showing,Dead Tired,RavensDagger
2020-11-17,2060,Chapter Seventeen - A Thoughtful Trip,Dead Tired,RavensDagger
2020-11-18,2078,Chapter Eighteen - A Charming Entrance,Dead Tired,RavensDagger
2020-11-19,2068,Chapter Nineteen - A Mission,Dead Tired,RavensDagger
2020-11-20,2114,Chapter Twenty - A Limpet’s Point of View,Dead Tired,RavensDagger
2020-11-21,2319,Chapter Twenty-One - A Maid's Uneventful Shopping Trip,Dead Tired,RavensDagger
2020-11-23,2109,Chapter Twenty-Two - A Matter of Economics and Sacrifice,Dead Tired,RavensDagger
2020-11-23,2018,Chapter Twenty-Three - A Godly Chat,Dead Tired,RavensDagger
2020-11-24,2070,Chapter Twenty-Four - A Time to Go,Dead Tired,RavensDagger
