date,wordcount,chapter,work,author
2018-03-02,2533,Chapter 1 Boring introduction - Where is the magic?,Azarinth Healer,Rhaegar
2018-03-02,3550,Chapter 2 Generic wolves - who would've guessed,Azarinth Healer,Rhaegar
2018-03-02,3481,Chapter 3 Glowing Moss,Azarinth Healer,Rhaegar
2018-03-03,2967,Chapter 4 Exploration,Azarinth Healer,Rhaegar
2018-03-03,3403,Chapter 5 Civilization,Azarinth Healer,Rhaegar
2018-03-04,3174,Chapter 6 E X P O S I T I O N,Azarinth Healer,Rhaegar
2018-03-04,3236,Chapter 7 Broken Bones,Azarinth Healer,Rhaegar
2018-03-04,3695,Chapter 8 Death,Azarinth Healer,Rhaegar
2018-03-05,3249,Chapter 9 Graves to dig,Azarinth Healer,Rhaegar
2018-03-06,2654,Chapter 10 Catch a ride,Azarinth Healer,Rhaegar
2018-03-07,3302,Chapter 11 City life,Azarinth Healer,Rhaegar
2018-03-08,3307,Chapter 12 Bread and Circuses,Azarinth Healer,Rhaegar
2018-03-09,3046,Chapter 13 Relaxing afternoon,Azarinth Healer,Rhaegar
2018-03-09,3395,Chapter 14 It's a party!,Azarinth Healer,Rhaegar
2018-03-10,3089,Chapter 15 Bad doggos,Azarinth Healer,Rhaegar
2018-03-10,3159,Chapter 16 Loss,Azarinth Healer,Rhaegar
2018-03-10,3439,Chapter 17 Bracers and Books,Azarinth Healer,Rhaegar
2018-03-11,2425,Chapter 18 Through the fire and flames,Azarinth Healer,Rhaegar
2018-03-11,2262,Chapter 19 Caves. Still caves.,Azarinth Healer,Rhaegar
2018-03-11,3203,"Chapter 20 Superhero landing, yea that's really hard on your knees",Azarinth Healer,Rhaegar
2018-03-13,3328,Chapter 21 The Unlife,Azarinth Healer,Rhaegar
2018-03-13,2541,Chapter 22 Not a cliffhanger,Azarinth Healer,Rhaegar
2018-03-16,3210,Chapter 23 Sun,Azarinth Healer,Rhaegar
2018-03-17,3179,Chapter 24 The Queen,Azarinth Healer,Rhaegar
2018-03-18,3287,Chapter 25 Woman and Monster,Azarinth Healer,Rhaegar
2018-03-21,3318,Chapter 26 Not a title,Azarinth Healer,Rhaegar
2018-03-23,3123,Chapter 27 It's a roadtrip!,Azarinth Healer,Rhaegar
2018-03-24,3232,"Chapter 28 Actual healing, what?",Azarinth Healer,Rhaegar
2018-03-25,3232,Chapter 29 Force of nature,Azarinth Healer,Rhaegar
2018-03-30,3166,Chapter 30 Claymore,Azarinth Healer,Rhaegar
2018-04-01,3120,Chapter 31 Arrival,Azarinth Healer,Rhaegar
2018-04-05,3125,Chapter 32 Slice of life,Azarinth Healer,Rhaegar
2018-04-06,3251,Chapter 33 #Traveling,Azarinth Healer,Rhaegar
2018-04-07,2836,Chapter 34 Dungeon diving,Azarinth Healer,Rhaegar
2018-04-08,3044,Chapter 35 Outclassed,Azarinth Healer,Rhaegar
2018-04-08,3185,Chapter 36 Sparring and advice,Azarinth Healer,Rhaegar
2018-04-11,3495,Chapter 37 Azarinth Leecher,Azarinth Healer,Rhaegar
2018-04-13,2957,Chapter 38 Centurion,Azarinth Healer,Rhaegar
2018-04-14,3118,Chapter 39 Traps,Azarinth Healer,Rhaegar
2018-04-15,3168,Chapter 40 Fire and Ash,Azarinth Healer,Rhaegar
2018-04-19,3273,Chapter 41 Trash compactor,Azarinth Healer,Rhaegar
2018-04-20,3061,Chapter 42 Sushi,Azarinth Healer,Rhaegar
2018-04-22,3037,Chapter 43 Reasons and talks,Azarinth Healer,Rhaegar
2018-04-27,3519,Chapter 44 Newcomers,Azarinth Healer,Rhaegar
2018-04-28,3070,Chapter 45 Cake,Azarinth Healer,Rhaegar
2018-04-29,3006,Chapter 46 I feel like my titles are boring,Azarinth Healer,Rhaegar
2018-05-01,2938,Chapter 47 Darkness,Azarinth Healer,Rhaegar
2018-05-01,3109,Chapter 48 Treasures and fire,Azarinth Healer,Rhaegar
2018-05-04,3162,Chapter 49 On the trail of history,Azarinth Healer,Rhaegar
2018-05-05,3229,Chapter 50 Demon of Ash,Azarinth Healer,Rhaegar
2018-05-05,3132,Chapter 51 That is no bird,Azarinth Healer,Rhaegar
2018-05-06,3384,Chapter 52 New companions and enemies,Azarinth Healer,Rhaegar
2018-05-06,3061,Chapter 53 The forgotten title,Azarinth Healer,Rhaegar
2018-05-10,3101,Chapter 54 Cards and poison,Azarinth Healer,Rhaegar
2018-05-12,3120,Chapter 55 Welcome to the Internet,Azarinth Healer,Rhaegar
2018-05-13,3206,Chapter 56 Cleanup crew,Azarinth Healer,Rhaegar
2018-05-13,3056,Chapter 57 Loony steel,Azarinth Healer,Rhaegar
2018-05-18,3404,Chapter 58 Resisting,Azarinth Healer,Rhaegar
2018-05-19,2981,Chapter 59 Boss battles are easy,Azarinth Healer,Rhaegar
2018-05-19,3242,Chapter 60 Scythes and Swords,Azarinth Healer,Rhaegar
2018-05-25,3004,Chapter 61 Sharing is caring,Azarinth Healer,Rhaegar
2018-05-26,3464,Chapter 62 Survivors,Azarinth Healer,Rhaegar
2018-05-27,3029,Chapter 63 Onwards through the storm,Azarinth Healer,Rhaegar
2018-06-01,3266,Chapter 64 Snow and Ice,Azarinth Healer,Rhaegar
2018-06-06,3580,Chapter 65 There is a title though it holds no meaning,Azarinth Healer,Rhaegar
2018-06-08,3328,Chapter 66 Hunting,Azarinth Healer,Rhaegar
2018-06-10,3695,Chapter 67 Evolution,Azarinth Healer,Rhaegar
2018-06-14,3549,Chapter 68 Library,Azarinth Healer,Rhaegar
2018-06-21,3373,Chapter 69 Return,Azarinth Healer,Rhaegar
2018-06-21,3001,Chapter 70 Bait,Azarinth Healer,Rhaegar
2018-06-28,3045,Chapter 71 A dark night,Azarinth Healer,Rhaegar
2018-06-30,3092,Chapter 72 Old Beings,Azarinth Healer,Rhaegar
2018-07-02,3193,Chapter 73 Decisions and Ale,Azarinth Healer,Rhaegar
2018-07-05,3017,Chapter 74 Hashtag Traveling,Azarinth Healer,Rhaegar
2018-07-06,3267,Chapter 75 A Guild and a Bed,Azarinth Healer,Rhaegar
2018-07-07,3026,Chapter 76 Storage Skills,Azarinth Healer,Rhaegar
2018-07-13,3024,Chapter 77 Evaluation,Azarinth Healer,Rhaegar
2018-07-14,3052,Chapter 78 Excursion,Azarinth Healer,Rhaegar
2018-07-19,3635,Chapter 79 Iron,Azarinth Healer,Rhaegar
2018-07-21,3086,Chapter 80 Team,Azarinth Healer,Rhaegar
2018-07-22,3045,Chapter 81 Class,Azarinth Healer,Rhaegar
2018-07-26,3335,Chapter 82 Vampyr,Azarinth Healer,Rhaegar
2018-07-27,3263,Chapter 83 Team building excercises,Azarinth Healer,Rhaegar
2018-07-29,2947,Chapter 84 Yield,Azarinth Healer,Rhaegar
2018-08-01,3103,Chapter 85 A fine Establishment,Azarinth Healer,Rhaegar
2018-08-03,2994,Chapter 86 Dinner,Azarinth Healer,Rhaegar
