date,wordcount,chapter,work,author
2019-01-06,2215,Chapter 1 - Anthony Reborn,Chrysalis,RinoZ
2019-01-06,2077,Chapter 2 - Coming to grips,Chrysalis,RinoZ
2019-01-06,1475,Chapter 3 - Monstrous Associates,Chrysalis,RinoZ
2019-01-06,1667,Chapter 4 - The first prey,Chrysalis,RinoZ
2019-01-06,1586,Chapter 5 - To the victor goes the spoils,Chrysalis,RinoZ
2019-01-06,1673,Chapter 6 - Exploration is perilous,Chrysalis,RinoZ
2019-01-06,1687,Cohabitation,Chrysalis,RinoZ
2019-01-07,1303,Titus,Chrysalis,RinoZ
2019-01-07,1397,To live is to learn,Chrysalis,RinoZ
2019-01-07,1502,The Study of the Beast,Chrysalis,RinoZ
2019-01-07,1697,Forced from home,Chrysalis,RinoZ
2019-01-07,1525,The trail,Chrysalis,RinoZ
2019-01-07,1397,Arachnid < Insect,Chrysalis,RinoZ
2019-01-07,1592,The express lane,Chrysalis,RinoZ
2019-01-12,1605,How to last hit,Chrysalis,RinoZ
2019-01-12,1731,Currents and undertows,Chrysalis,RinoZ
2019-01-12,1208,The deep roads,Chrysalis,RinoZ
2019-01-12,1514,The world below,Chrysalis,RinoZ
2019-01-12,1807,The harvest,Chrysalis,RinoZ
2019-01-12,1262,Offence is defence,Chrysalis,RinoZ
2019-01-12,1567,Eye for an eye,Chrysalis,RinoZ
2019-01-12,1342,Once more into the breach,Chrysalis,RinoZ
2019-01-12,1377,The invasion,Chrysalis,RinoZ
2019-01-12,1553,Core of the problem,Chrysalis,RinoZ
2019-01-12,1539,New frontiers,Chrysalis,RinoZ
2019-01-12,1506,Conqueror!,Chrysalis,RinoZ
2019-01-12,1633,Long roads,Chrysalis,RinoZ
2019-01-12,1517,True lords of the domain,Chrysalis,RinoZ
2019-01-12,1567,Croc landing,Chrysalis,RinoZ
2019-01-12,1620,Juniors are for light duties,Chrysalis,RinoZ
2019-01-12,1608,Unwelcome guests,Chrysalis,RinoZ
2019-01-12,1401,Seeking but not finding,Chrysalis,RinoZ
2019-01-12,1472,A mutation sensation,Chrysalis,RinoZ
2019-01-12,1570,Camping out,Chrysalis,RinoZ
2019-01-12,1546,On the hunt for XP,Chrysalis,RinoZ
2019-01-12,1437,Battle! For Darwin!,Chrysalis,RinoZ
2019-01-12,1825,"I hunt, therefore I ant",Chrysalis,RinoZ
2019-01-12,1551,Rudely Interrupted,Chrysalis,RinoZ
2019-01-12,1604,Finally! Evolution!,Chrysalis,RinoZ
2019-01-12,1718,Check out my new ride,Chrysalis,RinoZ
2019-01-12,1357,Follow the yellow brick .... pheromones,Chrysalis,RinoZ
2019-01-12,1364,My  family need more education,Chrysalis,RinoZ
2019-01-12,1542,Blood is thicker than ichor,Chrysalis,RinoZ
2019-01-12,1343,Something never seen before,Chrysalis,RinoZ
2019-01-20,1547,My mother is a giant monster,Chrysalis,RinoZ
2019-01-20,1573,The Colony,Chrysalis,RinoZ
2019-01-20,1515,On the hunt with my brethren,Chrysalis,RinoZ
2019-01-20,1668,Anthony and the giant centipede,Chrysalis,RinoZ
2019-01-20,1508,Nest assault,Chrysalis,RinoZ
2019-01-20,1628,Storm of blades,Chrysalis,RinoZ
2019-01-20,1681,Royal Intervention,Chrysalis,RinoZ
2019-01-20,1449,R and R,Chrysalis,RinoZ
2019-01-20,1660,Skill up!,Chrysalis,RinoZ
2019-01-20,1551,Back to work,Chrysalis,RinoZ
2019-01-20,1357,Timber,Chrysalis,RinoZ
2019-01-20,1405,Anthony's colony growth strategy,Chrysalis,RinoZ
2019-01-20,1171,Practice makes perfect,Chrysalis,RinoZ
2019-01-20,1461,Hunger for Wolf-Dragon,Chrysalis,RinoZ
2019-01-20,1375,The first war of the hill,Chrysalis,RinoZ
2019-01-20,1525,The first war - war never changes,Chrysalis,RinoZ
2019-01-20,1504,The first war - war is mother to us all,Chrysalis,RinoZ
2019-01-20,1654,The first war - winner takes it all,Chrysalis,RinoZ
2019-01-20,1740,Core concern,Chrysalis,RinoZ
2019-01-20,1603,Right to the core,Chrysalis,RinoZ
2019-01-20,1558,Mutation trepidation,Chrysalis,RinoZ
2019-01-20,1698,The human factor,Chrysalis,RinoZ
2019-01-20,1630,These guys are a serious pain,Chrysalis,RinoZ
2019-01-20,1455,Drawing a line,Chrysalis,RinoZ
2019-01-20,1553,The evolving situation,Chrysalis,RinoZ
2019-01-20,1508,Using the power of the mind,Chrysalis,RinoZ
2019-01-20,1670,Too effective!?,Chrysalis,RinoZ
2019-01-20,1514,Finer things in life,Chrysalis,RinoZ
2019-01-20,1619,Establishing the network,Chrysalis,RinoZ
2019-01-20,1585,Dead...er?,Chrysalis,RinoZ
2019-01-20,1501,Reconnect with my people,Chrysalis,RinoZ
2019-01-20,1599,I can't bear it,Chrysalis,RinoZ
2019-01-20,1537,Crossroads,Chrysalis,RinoZ
2019-01-20,1672,The (actual) evolving situation,Chrysalis,RinoZ
2019-01-20,1492,Chatterbox,Chrysalis,RinoZ
2019-01-20,1380,Birth of the mage ... ant,Chrysalis,RinoZ
2019-01-20,1472,Flex the mental muscle!,Chrysalis,RinoZ
2019-01-20,1428,Mechanic in training,Chrysalis,RinoZ
2019-01-20,1072,The ants new move,Chrysalis,RinoZ
2019-01-20,1446,The gravity of the situation,Chrysalis,RinoZ
2019-01-20,1528,Voluntary Beating,Chrysalis,RinoZ
2019-01-20,1255,Still more to learn,Chrysalis,RinoZ
2019-01-20,1291,Tunnel solution,Chrysalis,RinoZ
2019-01-20,1542,Once more to battle!,Chrysalis,RinoZ
2019-02-06,1558,Splendid Chap,Chrysalis,RinoZ
2019-02-06,1673,Conversation with a mind,Chrysalis,RinoZ
2019-02-06,1440,Breaking,Chrysalis,RinoZ
2019-02-06,1336,Prelude to the second war,Chrysalis,RinoZ
2019-02-06,1279,The second war of the hill,Chrysalis,RinoZ
2019-02-06,1289,The colony flexes,Chrysalis,RinoZ
2019-02-06,1467,Anthony's fight,Chrysalis,RinoZ
2019-02-06,1443,Anthony's decision,Chrysalis,RinoZ
2019-02-06,1535,The family,Chrysalis,RinoZ
2019-02-06,1537,Digging commences,Chrysalis,RinoZ
2019-02-06,1563,Experiments in mechanics,Chrysalis,RinoZ
2019-02-06,1399,Concerning Tiny,Chrysalis,RinoZ
2019-02-06,1682,Storm Kong,Chrysalis,RinoZ
2019-02-06,1577,The great dig!,Chrysalis,RinoZ
2019-02-06,1411,Rising Tide,Chrysalis,RinoZ
2019-02-06,1261,The roar that follows the dark,Chrysalis,RinoZ
2019-02-06,1173,Kong fury,Chrysalis,RinoZ
2019-02-06,1350,The endless battle begins,Chrysalis,RinoZ
2019-02-06,1419,Counter attack,Chrysalis,RinoZ
2019-02-06,1650,Experiments with Gravity!,Chrysalis,RinoZ
2019-02-06,1483,Something weighing on your mind?,Chrysalis,RinoZ
2019-02-06,1482,Temporary reprieve,Chrysalis,RinoZ
2019-02-06,1447,The reality of the wave,Chrysalis,RinoZ
2019-02-06,1439,Interloper,Chrysalis,RinoZ
2019-02-06,1366,The vigil,Chrysalis,RinoZ
2019-02-06,1225,Bleary days,Chrysalis,RinoZ
2019-02-06,1400,Retreat from danger,Chrysalis,RinoZ
2019-02-06,1500,"Body of Iron, heart of flame",Chrysalis,RinoZ
2019-02-06,1077,Raid,Chrysalis,RinoZ
2019-02-06,1334,"The furious Tiny, the delectable feast!",Chrysalis,RinoZ
2019-02-06,1529,Breaching the surface,Chrysalis,RinoZ
2019-02-06,1571,Cultural exchange,Chrysalis,RinoZ
2019-02-06,1672,Whoops,Chrysalis,RinoZ
2019-02-06,1294,New home,Chrysalis,RinoZ
2019-02-06,1379,Territory,Chrysalis,RinoZ
2019-02-06,1038,Strange new life,Chrysalis,RinoZ
2019-02-06,1484,It all comes back to mana,Chrysalis,RinoZ
2019-02-06,1565,Just so skilfull,Chrysalis,RinoZ
2019-02-06,1534,Embers,Chrysalis,RinoZ
2019-02-06,1347,Core farming,Chrysalis,RinoZ
2019-02-06,1635,Transform and roll out,Chrysalis,RinoZ
2019-02-06,1297,Whispers in the dark,Chrysalis,RinoZ
2019-02-06,1340,Flee from fire,Chrysalis,RinoZ
2019-02-06,1644,Crafting of the JellyMaw!,Chrysalis,RinoZ
2019-03-04,1143,Diggin is the song of my soul,Chrysalis,RinoZ
2019-03-04,1431,Back into the breach once more!,Chrysalis,RinoZ
2019-03-04,1402,Rising!,Chrysalis,RinoZ
2019-03-04,1554,Brawlin',Chrysalis,RinoZ
2019-03-04,1419,The beating goes on,Chrysalis,RinoZ
2019-03-04,1457,"Anthony, beyond human",Chrysalis,RinoZ
2019-03-04,1389,Monster Unleashed,Chrysalis,RinoZ
2019-03-04,1424,The human menace,Chrysalis,RinoZ
2019-03-04,1477,The Queen,Chrysalis,RinoZ
2019-03-04,1125,The path forward,Chrysalis,RinoZ
2019-03-04,1569,Within the mind,Chrysalis,RinoZ
2019-03-04,997,Talking points,Chrysalis,RinoZ
2019-03-04,1318,Flames rising,Chrysalis,RinoZ
2019-03-04,1293,The mini escapade,Chrysalis,RinoZ
2019-03-04,1401,"Small fish, smaller pond",Chrysalis,RinoZ
2019-03-04,1266,"The risk, the reward",Chrysalis,RinoZ
2019-03-04,1559,Desperate times,Chrysalis,RinoZ
2019-03-04,1480,The case for cooperation,Chrysalis,RinoZ
2019-03-04,1126,Fall like dominos,Chrysalis,RinoZ
2019-03-04,1535,A tunnel is always the answer,Chrysalis,RinoZ
2019-03-04,1582,Assault on the surface,Chrysalis,RinoZ
2019-03-04,1419,Premiums are going way up,Chrysalis,RinoZ
2019-03-04,1939,Gateway,Chrysalis,RinoZ
2019-03-04,1146,Into the palace,Chrysalis,RinoZ
2019-03-04,1583,Battle to the doorstep,Chrysalis,RinoZ
2019-03-04,1464,The Queen circumstances Part 1,Chrysalis,RinoZ
2019-03-04,1329,The Queen's circumstances Part 2,Chrysalis,RinoZ
2019-03-04,1990,The Queen's circumstances Part 3,Chrysalis,RinoZ
2019-03-04,1257,The sweetest voice,Chrysalis,RinoZ
2019-03-04,1402,The endless nightmare,Chrysalis,RinoZ
2019-03-04,1710,"Those who descend, that which rises",Chrysalis,RinoZ
2019-03-04,1144,Settling new lands,Chrysalis,RinoZ
2019-03-04,1215,Green thumb,Chrysalis,RinoZ
2019-03-04,1408,Combine harvester,Chrysalis,RinoZ
2019-03-04,1614,The finer vegetation,Chrysalis,RinoZ
2019-03-04,1301,Salad ala carte,Chrysalis,RinoZ
2019-03-04,1476,Stairway to Biomass,Chrysalis,RinoZ
2019-03-04,1359,"Field trip ends, itching begins",Chrysalis,RinoZ
2019-03-04,1190,Laying the foundation,Chrysalis,RinoZ
2019-03-04,1213,"Core, what is it good for?",Chrysalis,RinoZ
2019-03-04,1256,Well behaved ape,Chrysalis,RinoZ
2019-03-04,1476,Options abound,Chrysalis,RinoZ
2019-03-04,1517,Exceed mortal kind,Chrysalis,RinoZ
2019-03-04,1321,Words with the White Wizard,Chrysalis,RinoZ
2019-03-05,1598,Low Rider,Chrysalis,RinoZ
2019-03-05,1273,The work of the mind,Chrysalis,RinoZ
2019-03-05,1852,The pain inside,Chrysalis,RinoZ
2019-03-05,1777,The day that changed Pangera,Chrysalis,RinoZ
2019-03-05,1564,Unexpected company,Chrysalis,RinoZ
2019-03-05,1301,Rumour has it,Chrysalis,RinoZ
2019-03-05,1346,Inconvenient,Chrysalis,RinoZ
2019-03-05,1346,Ape slap,Chrysalis,RinoZ
2019-03-05,1380,The surge,Chrysalis,RinoZ
2019-03-05,1437,Dire lightning storm kong,Chrysalis,RinoZ
2019-03-05,1335,Crinis unleashed,Chrysalis,RinoZ
2019-03-05,1619,Playing with water,Chrysalis,RinoZ
2019-03-05,1410,The Croca-Army,Chrysalis,RinoZ
2019-03-05,1224,The Marsh Expanse,Chrysalis,RinoZ
2019-03-05,1321,Tentative exploration,Chrysalis,RinoZ
2019-03-05,1502,Battling the marsh,Chrysalis,RinoZ
2019-03-05,1689,The next wave,Chrysalis,RinoZ
2019-03-05,1214,A tasty feast,Chrysalis,RinoZ
2019-03-05,1415,Surface situation,Chrysalis,RinoZ
2019-03-05,1365,Humans and their needs,Chrysalis,RinoZ
2019-03-05,1190,Improve thyself,Chrysalis,RinoZ
2019-03-05,1214,Quick! Status report!,Chrysalis,RinoZ
