date,wordcount,chapter,work,author
2019-06-02,3336,001: Woodland,Delve,SenescentSoul
2019-06-02,3444,002: One on One,Delve,SenescentSoul
2019-06-02,2203,003: Pothole,Delve,SenescentSoul
2019-06-02,5554,004: Statistics,Delve,SenescentSoul
2019-06-02,2657,005: Alone,Delve,SenescentSoul
2019-06-02,2774,006: Skill,Delve,SenescentSoul
2019-06-02,3180,007: Slime,Delve,SenescentSoul
2019-06-02,3164,008: Clarity,Delve,SenescentSoul
2019-06-04,4230,009: Commerce,Delve,SenescentSoul
2019-06-05,4197,010: Broke,Delve,SenescentSoul
2019-06-06,3514,011: UX,Delve,SenescentSoul
2019-06-07,3118,012: Class,Delve,SenescentSoul
2019-06-08,3872,013: Party,Delve,SenescentSoul
2019-06-08,3157,014: Math,Delve,SenescentSoul
2019-06-08,4391,015: Mine,Delve,SenescentSoul
2019-06-08,2088,016: Cleanup,Delve,SenescentSoul
2019-06-08,5451,017: Return,Delve,SenescentSoul
2019-06-13,4903,018: Rescue,Delve,SenescentSoul
2019-06-13,2740,019: Succor,Delve,SenescentSoul
2019-06-21,3876,020: Outcast,Delve,SenescentSoul
2019-06-23,5171,021: Smith,Delve,SenescentSoul
2019-06-24,2617,022: Search,Delve,SenescentSoul
2019-06-27,3748,023: Paralysis,Delve,SenescentSoul
2019-07-01,3593,024: Answers,Delve,SenescentSoul
2019-07-05,3338,025: Clay,Delve,SenescentSoul
2019-07-07,3451,026: Gratitude,Delve,SenescentSoul
2019-07-14,2165,027: Hunted,Delve,SenescentSoul
2019-07-21,2630,028: Plan,Delve,SenescentSoul
2019-07-28,3313,029: Practice,Delve,SenescentSoul
2019-08-04,3444,030: School,Delve,SenescentSoul
2019-08-09,3607,031: Gear,Delve,SenescentSoul
2019-08-11,3674,032: Well,Delve,SenescentSoul
2019-08-17,3495,033: Reunion,Delve,SenescentSoul
2019-08-18,3811,034: Kin,Delve,SenescentSoul
2019-08-25,2480,035: Dream,Delve,SenescentSoul
2019-08-25,4422,036: Focus,Delve,SenescentSoul
2019-08-29,6419,037: Modded,Delve,SenescentSoul
2019-09-01,3814,038: Geography,Delve,SenescentSoul
2019-09-01,4768,039: Arrival,Delve,SenescentSoul
2019-09-04,5481,040: Lair,Delve,SenescentSoul
2019-09-08,2815,041: Maze,Delve,SenescentSoul
2019-09-10,4595,042: Guesswork,Delve,SenescentSoul
2019-09-15,3554,043: Fall,Delve,SenescentSoul
2019-09-18,2096,044: Beast,Delve,SenescentSoul
2019-09-22,3307,045: Signal,Delve,SenescentSoul
2019-09-25,1721,046: Light,Delve,SenescentSoul
2019-09-25,3596,047: Core,Delve,SenescentSoul
2019-09-29,3062,048: Crucible,Delve,SenescentSoul
2019-10-04,3644,049: Downtime,Delve,SenescentSoul
2019-10-06,3709,050: Baggage,Delve,SenescentSoul
2019-10-07,5984,051: Completionist,Delve,SenescentSoul
2019-10-13,2596,052: Specialization,Delve,SenescentSoul
2019-10-15,4412,053: Forward,Delve,SenescentSoul
2019-10-20,3140,054: Adventure,Delve,SenescentSoul
2019-10-22,5829,055: Armored,Delve,SenescentSoul
2019-10-27,4326,056: Noble,Delve,SenescentSoul
2019-10-30,4752,057: Restored,Delve,SenescentSoul
2019-11-03,4243,058: Charge,Delve,SenescentSoul
2019-11-07,5457,059: King,Delve,SenescentSoul
2019-11-10,4863,060: Snow,Delve,SenescentSoul
2019-11-13,4793,061: Spree,Delve,SenescentSoul
2019-11-17,5309,062: Complication,Delve,SenescentSoul
2019-11-20,6901,063: Assessment,Delve,SenescentSoul
2019-11-24,9851,064: Exposition,Delve,SenescentSoul
2019-12-01,4147,065: Ring,Delve,SenescentSoul
2019-12-08,3693,066: Encounter,Delve,SenescentSoul
2019-12-15,5464,067: Footrace,Delve,SenescentSoul
2019-12-22,4860,068: Departure,Delve,SenescentSoul
2019-12-29,5576,069: Hangover,Delve,SenescentSoul
2020-01-05,6889,070: Skating,Delve,SenescentSoul
2020-01-08,5155,071: Perspective,Delve,SenescentSoul
2020-01-12,10015,072: Preemption,Delve,SenescentSoul
2020-01-19,4714,073: Inflamed,Delve,SenescentSoul
2020-01-22,5352,074: Elevation,Delve,SenescentSoul
2020-01-26,6182,075: Adaptation,Delve,SenescentSoul
2020-01-29,4677,076: Meeting,Delve,SenescentSoul
2020-02-01,4686,077: Chill,Delve,SenescentSoul
2020-02-06,4560,078: Heatsink,Delve,SenescentSoul
2020-02-09,4447,079: Slumber,Delve,SenescentSoul
2020-02-16,5753,080: Trapped,Delve,SenescentSoul
2020-02-18,6676,081: Breakdown,Delve,SenescentSoul
2020-02-23,7395,082: Intent,Delve,SenescentSoul
2020-03-01,7364,083: Boon,Delve,SenescentSoul
2020-03-08,6482,084: Entry,Delve,SenescentSoul
2020-03-11,6097,085: Guide,Delve,SenescentSoul
2020-03-15,4880,086: Explosion,Delve,SenescentSoul
2020-03-22,6981,087: Pet,Delve,SenescentSoul
2020-03-29,7910,088: Casualties,Delve,SenescentSoul
2020-04-05,4648,089: Consequence,Delve,SenescentSoul
2020-04-12,4921,090: Buried,Delve,SenescentSoul
2020-04-19,5274,091: Essence,Delve,SenescentSoul
2020-04-26,4281,092: Fracture,Delve,SenescentSoul
2020-05-03,7249,093: Tomb,Delve,SenescentSoul
2020-05-10,6661,094: Illusion,Delve,SenescentSoul
2020-05-17,4849,095: Pressure,Delve,SenescentSoul
2020-05-24,7352,096: Sanctuary,Delve,SenescentSoul
2020-05-31,10053,097: Arrested,Delve,SenescentSoul
2020-06-07,12569,098: Stability,Delve,SenescentSoul
2020-06-14,9462,099: Calm,Delve,SenescentSoul
2020-06-21,10947,100: Storm,Delve,SenescentSoul
2020-06-28,7640,101: Fireside,Delve,SenescentSoul
2020-07-05,5451,102: Reaper,Delve,SenescentSoul
2020-07-12,7447,103: Illumination,Delve,SenescentSoul
2020-07-19,9544,104: Mind,Delve,SenescentSoul
2020-07-25,6561,105: Connection,Delve,SenescentSoul
2020-08-02,6121,106: Imprint,Delve,SenescentSoul
2020-08-09,5469,107: Interface,Delve,SenescentSoul
2020-08-16,5487,108: Handover,Delve,SenescentSoul
2020-08-23,6132,109: Inception,Delve,SenescentSoul
2020-08-30,5847,110: Logistics,Delve,SenescentSoul
2020-09-06,5294,111: Pickup,Delve,SenescentSoul
2020-09-13,6513,112: Revelation,Delve,SenescentSoul
2020-09-20,9027,113: Inauguration,Delve,SenescentSoul
2020-09-27,6797,114: March,Delve,SenescentSoul
2020-10-04,6128,115: Camp,Delve,SenescentSoul
2020-10-11,6006,116: Squall,Delve,SenescentSoul
2020-10-18,4307,117: Trust,Delve,SenescentSoul
2020-10-25,5249,118: Frost,Delve,SenescentSoul
2020-11-01,4810,119: Worry,Delve,SenescentSoul
2020-11-08,7450,120: Choice,Delve,SenescentSoul
2020-11-15,6872,121: Restraint,Delve,SenescentSoul
2020-11-22,7290,122: Composition,Delve,SenescentSoul
2020-11-29,6339,123: Turbulence,Delve,SenescentSoul
2020-12-06,6197,124: Engage,Delve,SenescentSoul
2020-12-13,5343,125: Vestvall,Delve,SenescentSoul
