date,wordcount,chapter,work
2014-08-20,6016,Book 1 – Prologue,The Gods Are Bastards
2014-08-22,6277,1 – 1,The Gods Are Bastards
2014-08-25,4675,1- 2,The Gods Are Bastards
2014-08-27,5277,1 – 3,The Gods Are Bastards
2014-08-29,6239,1 – 4,The Gods Are Bastards
2014-09-01,5179,1 – 5,The Gods Are Bastards
2014-09-03,4549,1 – 6,The Gods Are Bastards
2014-09-05,3956,1 – 7,The Gods Are Bastards
2014-09-08,4389,1 – 8,The Gods Are Bastards
2014-09-10,4030,1 – 9,The Gods Are Bastards
2014-09-13,7240,1 – 10,The Gods Are Bastards
2014-09-16,6347,1 – 11,The Gods Are Bastards
2014-09-17,3939,1 – 12,The Gods Are Bastards
2014-09-19,3271,1 – 13,The Gods Are Bastards
2014-09-22,6182,1 – 14,The Gods Are Bastards
2014-09-24,5756,1 – 15,The Gods Are Bastards
2014-09-26,6680,1 – 16,The Gods Are Bastards
2014-09-29,4704,1 – 17,The Gods Are Bastards
2014-10-01,2796,1 – 18,The Gods Are Bastards
2014-10-03,6768,1 – 19,The Gods Are Bastards
2014-10-06,6573,1 – 20,The Gods Are Bastards
2014-10-08,3278,1 – 21,The Gods Are Bastards
2014-10-10,4511,2 – 1,The Gods Are Bastards
2014-10-13,4751,2 – 2,The Gods Are Bastards
2014-10-15,4038,2 – 3,The Gods Are Bastards
2014-10-17,4622,2 – 4,The Gods Are Bastards
2014-10-20,4346,2 – 5,The Gods Are Bastards
2014-10-22,5125,2 – 6,The Gods Are Bastards
2014-10-24,4553,2 – 7,The Gods Are Bastards
2014-10-27,4037,2 – 8,The Gods Are Bastards
2014-10-29,5914,2 – 9,The Gods Are Bastards
2014-10-31,4918,2 – 10,The Gods Are Bastards
2014-11-03,5587,2 – 11,The Gods Are Bastards
2014-11-05,3717,2 – 12,The Gods Are Bastards
2014-11-07,5494,2 -13,The Gods Are Bastards
2014-11-10,4992,2 – 14,The Gods Are Bastards
2014-11-12,5573,2 – 15,The Gods Are Bastards
2014-11-14,6002,2 – 16,The Gods Are Bastards
2014-11-17,4924,2 – 17,The Gods Are Bastards
2014-11-19,5643,2 – 18,The Gods Are Bastards
2014-11-21,5084,2 – 19,The Gods Are Bastards
2014-11-24,5233,2 – 20,The Gods Are Bastards
2014-11-26,5312,2 – 21,The Gods Are Bastards
2014-11-28,4825,2 – 22,The Gods Are Bastards
2014-12-01,5072,3 – 1,The Gods Are Bastards
2014-12-03,5927,3 – 2,The Gods Are Bastards
2014-12-05,5444,3 – 3,The Gods Are Bastards
2014-12-08,5431,3 – 4,The Gods Are Bastards
2014-12-10,5923,3 – 5,The Gods Are Bastards
2014-12-12,4833,3 – 6,The Gods Are Bastards
2014-12-15,5271,3 – 7,The Gods Are Bastards
2014-12-17,4531,3 – 8,The Gods Are Bastards
2014-12-19,5737,3 – 9,The Gods Are Bastards
2014-12-22,5001,3 – 10,The Gods Are Bastards
2014-12-24,4773,4 – 1,The Gods Are Bastards
2014-12-26,5077,4 – 2,The Gods Are Bastards
2014-12-29,6822,4 – 3,The Gods Are Bastards
2014-12-31,6782,4 – 4,The Gods Are Bastards
2015-01-02,4510,4 – 5,The Gods Are Bastards
2015-01-05,5741,4 – 6,The Gods Are Bastards
2015-01-07,5090,4 – 7,The Gods Are Bastards
2015-01-09,4861,4 – 8,The Gods Are Bastards
2015-01-12,4814,4 – 9,The Gods Are Bastards
2015-01-14,5093,4 – 10,The Gods Are Bastards
2015-01-16,4384,4 – 11,The Gods Are Bastards
2015-01-19,5015,4 – 12,The Gods Are Bastards
2015-01-21,4484,4 – 13,The Gods Are Bastards
2015-01-23,5177,4 – 14,The Gods Are Bastards
2015-01-26,4201,4 – 15,The Gods Are Bastards
2015-01-28,4512,4 – 16,The Gods Are Bastards
2015-01-30,6324,4 – 17,The Gods Are Bastards
2015-02-02,4599,4 – 18,The Gods Are Bastards
2015-02-04,5155,4 – 19,The Gods Are Bastards
2015-02-06,4190,4 – 20,The Gods Are Bastards
2015-02-09,5168,4 – 21,The Gods Are Bastards
2015-02-11,5469,4 – 22,The Gods Are Bastards
2015-02-13,2600,Epilogue – Vol. 1,The Gods Are Bastards
2015-02-14,3845,Bonus #1: Captain’s Orders,The Gods Are Bastards
2015-02-16,5806,Bonus #2: All Those Who Serve,The Gods Are Bastards
2015-02-18,6843,Bonus #3: Hero,The Gods Are Bastards
2015-02-20,112,Delay and apologies,The Gods Are Bastards
2015-02-23,6064,Bonus #4: Heart of the Wild,The Gods Are Bastards
2015-02-24,4906,Prologue – Volume 2,The Gods Are Bastards
2015-02-25,4384,5 – 1,The Gods Are Bastards
2015-02-27,4679,5 – 2,The Gods Are Bastards
2015-03-02,4688,5 – 3,The Gods Are Bastards
2015-03-04,4190,5 – 4,The Gods Are Bastards
2015-03-06,5741,5 – 5,The Gods Are Bastards
2015-03-09,4176,5 – 6,The Gods Are Bastards
2015-03-11,4450,5 – 7,The Gods Are Bastards
2015-03-13,4718,5 – 8,The Gods Are Bastards
2015-03-16,4948,5 – 9,The Gods Are Bastards
2015-03-18,4687,5 – 10,The Gods Are Bastards
2015-03-20,4435,5 – 11,The Gods Are Bastards
2015-03-23,3985,5 – 12,The Gods Are Bastards
2015-03-25,5374,5 – 13,The Gods Are Bastards
