date,wordcount,chapter,work
2016-07-27,749,1.00,The Wandering Inn
2016-07-27,2826,1.01,The Wandering Inn
2016-07-30,4447,1.02,The Wandering Inn
2016-08-07,1968,1.03,The Wandering Inn
2016-08-10,3812,1.04,The Wandering Inn
2016-08-13,2710,1.05,The Wandering Inn
2016-08-17,3440,1.06,The Wandering Inn
2016-08-20,5221,1.07,The Wandering Inn
2016-08-24,2680,1.08,The Wandering Inn
2016-08-28,2914,1.09,The Wandering Inn
2016-08-31,5623,1.10,The Wandering Inn
2016-09-04,3184,1.11,The Wandering Inn
2016-09-04,1190,Interlude,The Wandering Inn
2016-09-07,2351,1.12,The Wandering Inn
2016-09-11,3846,1.13,The Wandering Inn
2016-09-14,3533,1.14,The Wandering Inn
2016-09-18,4431,1.15,The Wandering Inn
2016-09-21,1431,1.16,The Wandering Inn
2016-09-25,4107,1.17,The Wandering Inn
2016-09-28,2620,1.18,The Wandering Inn
2016-10-02,3760,1.19,The Wandering Inn
2016-10-05,4727,1.20,The Wandering Inn
2016-10-06,2768,Interlude – 1.00 R,The Wandering Inn
2016-10-12,4361,1.01 R,The Wandering Inn
2016-10-16,5345,1.21,The Wandering Inn
2016-10-19,5494,1.22,The Wandering Inn
2016-10-23,5180,1.23,The Wandering Inn
2016-10-26,3459,Interlude – King Edition,The Wandering Inn
2016-10-30,7608,1.24,The Wandering Inn
2016-11-02,6767,1.02 R,The Wandering Inn
2016-11-06,4375,1.03 R,The Wandering Inn
2016-11-09,4906,1.25,The Wandering Inn
2016-11-13,4897,1.26,The Wandering Inn
2016-11-16,4785,1.27,The Wandering Inn
2016-11-20,5294,1.04 R,The Wandering Inn
2016-11-23,7908,1.05 R,The Wandering Inn
2016-11-27,6143,1.28,The Wandering Inn
2016-11-30,6127,1.06 R,The Wandering Inn
2016-12-04,7644,1.29,The Wandering Inn
2016-12-07,5332,1.30,The Wandering Inn
2016-12-11,7810,1.31,The Wandering Inn
2016-12-14,8622,1.07 R,The Wandering Inn
2016-12-18,7234,1.08 R,The Wandering Inn
2016-12-21,6503,1.32,The Wandering Inn
2016-12-25,8558,1.33,The Wandering Inn
2016-12-28,5355,1.09 R,The Wandering Inn
2017-01-01,8073,1.10 R,The Wandering Inn
2017-01-04,7989,1.34,The Wandering Inn
2017-01-08,7304,1.35,The Wandering Inn
2017-01-11,6449,1.11 R,The Wandering Inn
2017-01-15,9798,1.12 R,The Wandering Inn
2017-01-18,8093,1.36,The Wandering Inn
2017-01-22,7811,1.37,The Wandering Inn
2017-01-25,6360,1.38,The Wandering Inn
2017-01-29,5473,1.39,The Wandering Inn
2017-01-31,8156,1.40,The Wandering Inn
2017-02-05,6847,1.13 R,The Wandering Inn
2017-02-07,8706,1.41,The Wandering Inn
2017-02-12,8346,1.00 H,The Wandering Inn
2017-02-15,6680,1.01 H,The Wandering Inn
2017-02-19,8780,1.02 H,The Wandering Inn
2017-02-22,8064,1.42,The Wandering Inn
2017-02-25,7127,1.43,The Wandering Inn
2017-03-01,8309,1.44,The Wandering Inn
2017-03-04,5164,1.45,The Wandering Inn
2017-03-07,3138,Interlude,The Wandering Inn
2017-03-12,5813,2.00,The Wandering Inn
2017-03-15,5926,2.01,The Wandering Inn
2017-03-18,5996,2.02,The Wandering Inn
2017-03-22,9374,2.03,The Wandering Inn
2017-03-25,9004,2.04,The Wandering Inn
2017-03-28,6309,2.05,The Wandering Inn
2017-04-02,1672,2.06,The Wandering Inn
2017-04-04,7880,2.07,The Wandering Inn
2017-04-09,9262,2.08,The Wandering Inn
2017-04-12,8344,2.09,The Wandering Inn
2017-04-12,6716,2.10 T,The Wandering Inn
2017-04-13,7888,2.11,The Wandering Inn
2017-04-14,9634,2.12,The Wandering Inn
2017-04-15,8297,2.13,The Wandering Inn
2017-04-16,10108,2.14 G,The Wandering Inn
2017-04-17,8785,Side Story – Mating Rituals,The Wandering Inn
2017-04-18,9940,2.15,The Wandering Inn
2017-04-22,8984,2.16,The Wandering Inn
2017-04-22,9863,2.17,The Wandering Inn
2017-04-25,10220,1.00 C,The Wandering Inn
2017-04-25,8561,2.18,The Wandering Inn
2017-04-26,4223,1.01 C,The Wandering Inn
2017-04-27,9287,2.19 G,The Wandering Inn
2017-04-29,9993,2.20,The Wandering Inn
2017-05-03,10697,2.21,The Wandering Inn
2017-05-05,11023,2.22 K,The Wandering Inn
2017-05-07,11475,2.23,The Wandering Inn
2017-05-10,9659,2.24 T,The Wandering Inn
2017-05-14,10063,2.25,The Wandering Inn
2017-05-17,10683,2.26,The Wandering Inn
2017-05-21,10650,2.27 G,The Wandering Inn
2017-05-24,9491,2.28,The Wandering Inn
2017-05-26,11039,2.29,The Wandering Inn
2017-05-28,9737,2.30,The Wandering Inn
2017-05-28,5562,S02 – The Antinium Wars (Pt.1),The Wandering Inn
2017-05-31,11081,2.31,The Wandering Inn
2017-05-31,6949,S02 – The Antinium Wars (Pt.2),The Wandering Inn
2017-06-04,10659,2.32 H,The Wandering Inn
2017-06-07,10561,2.33,The Wandering Inn
2017-06-09,9223,2.34,The Wandering Inn
2017-06-11,11225,2.35,The Wandering Inn
2017-06-14,8441,2.36 G,The Wandering Inn
2017-06-18,9531,2.37,The Wandering Inn
2017-06-21,11922,2.38,The Wandering Inn
2017-06-24,9776,Interlude,The Wandering Inn
2017-06-27,10934,2.39,The Wandering Inn
2017-06-30,11172,S03 – Wistram Days (Pt. 1),The Wandering Inn
2017-07-01,11236,2.40,The Wandering Inn
2017-07-04,12591,2.41,The Wandering Inn
2017-07-08,10313,2.42,The Wandering Inn
2017-07-11,9120,2.43,The Wandering Inn
2017-07-14,11964,1.00 D,The Wandering Inn
2017-07-14,11601,1.01 D,The Wandering Inn
2017-07-15,9046,2.44,The Wandering Inn
2017-07-18,10809,2.45,The Wandering Inn
2017-07-22,9646,2.46,The Wandering Inn
2017-07-25,11760,2.47,The Wandering Inn
2017-07-29,13519,2.48,The Wandering Inn
2017-08-01,10480,3.00 E,The Wandering Inn
2017-08-05,10686,3.01 E,The Wandering Inn
2017-08-08,12956,3.02 H,The Wandering Inn
2017-08-12,13988,3.03,The Wandering Inn
2017-08-15,11081,3.04,The Wandering Inn
2017-08-19,10844,3.05 L,The Wandering Inn
2017-08-22,13259,3.06 L,The Wandering Inn
2017-08-26,12560,3.07 H,The Wandering Inn
2017-08-29,9160,3.08 H,The Wandering Inn
2017-08-31,13208,S03 – Wistram Days (Pt. 2),The Wandering Inn
2017-09-02,10737,3.09,The Wandering Inn
2017-09-05,10819,3.10,The Wandering Inn
2017-09-09,11642,3.11 E,The Wandering Inn
2017-09-12,9768,3.12 E,The Wandering Inn
2017-09-16,13206,3.13,The Wandering Inn
2017-09-19,11066,3.14,The Wandering Inn
2017-09-23,10964,3.15,The Wandering Inn
2017-09-26,13137,3.16,The Wandering Inn
2017-09-27,11377,3.17 T,The Wandering Inn
2017-09-28,11037,3.18 T,The Wandering Inn
2017-09-30,9372,3.19 T,The Wandering Inn
2017-10-03,10792,3.20 T,The Wandering Inn
2017-10-07,9770,3.21 L,The Wandering Inn
2017-10-10,10709,3.22 L,The Wandering Inn
2017-10-14,13912,3.23 L,The Wandering Inn
