date,wordcount,chapter,work
2013-12-17,9005,Bonds 1.1,Pact
2013-12-17,8675,Bonds 1.2,Pact
2013-12-24,7171,Bonds 1.3,Pact
2013-12-30,7167,Bonds 1.4,Pact
2014-01-04,6868,Bonds 1.5,Pact
2014-01-07,6924,Bonds 1.6,Pact
2014-01-11,7315,Bonds 1.7,Pact
2014-01-14,5039,Gathered Pages: 1,Pact
2014-01-18,6705,Damages 2.1,Pact
2014-01-21,7926,Damages 2.2,Pact
2014-01-25,7112,Damages 2.3,Pact
2014-01-28,6672,Damages 2.4,Pact
2014-02-01,7563,Damages 2.5,Pact
2014-02-04,7014,Damages 2.6,Pact
2014-02-06,6871,Gathered Pages: 2,Pact
2014-02-08,6868,Damages 2.7,Pact
2014-02-11,8451,Histories (Arc 2),Pact
2014-02-15,6790,Breach 3.1,Pact
2014-02-18,7726,Breach 3.2,Pact
2014-02-20,7519,Breach 3.3,Pact
2014-02-22,6795,Breach 3.4,Pact
2014-02-25,7159,Breach 3.5,Pact
2014-03-01,8413,Histories (Arc 3),Pact
2014-03-04,9016,Collateral 4.1,Pact
2014-03-06,7126,Collateral 4.2,Pact
2014-03-08,8057,Collateral 4.3,Pact
2014-03-11,7216,Collateral 4.4,Pact
2014-03-15,7211,Collateral 4.5,Pact
2014-03-18,6684,Collateral 4.6,Pact
2014-03-20,6829,Collateral 4.7,Pact
2014-03-22,7187,Collateral 4.8,Pact
2014-03-25,6725,Collateral 4.9,Pact
2014-03-29,6988,Collateral 4.10,Pact
2014-04-01,7471,Collateral 4.11,Pact
2014-04-03,9677,Collateral 4.12,Pact
2014-04-05,5990,Gathered Pages: 4,Pact
2014-04-08,7403,Conviction 5.1,Pact
2014-04-12,7679,Conviction 5.2,Pact
2014-04-15,6397,Conviction 5.3,Pact
2014-04-17,6747,Conviction 5.4,Pact
2014-04-19,6849,Conviction 5.5,Pact
2014-04-22,7577,Conviction 5.6,Pact
2014-04-26,7612,Histories (Arc 5),Pact
2014-04-29,7208,Subordination 6.1,Pact
2014-05-01,6855,Subordination 6.2,Pact
2014-05-03,6453,Subordination 6.3,Pact
