date,wordcount,chapter,work
2020-05-05,7378,Blood Run Cold – 0.0,Pale
2020-05-07,0,"Brochure, ‘Experience Kennet’",Pale
2020-05-09,9556,Lost for Words – 1.1,Pale
2020-05-12,7016,Lost for Words – 1.2,Pale
2020-05-14,1291,[1.2 Spoilers] Notes on Others,Pale
2020-05-16,9827,Lost for Words – 1.3,Pale
2020-05-19,8959,Lost for Words – 1.4,Pale
2020-05-21,0,[1.4 Spoilers] Notes on Practices #1,Pale
2020-05-23,8504,Lost for Words – 1.5,Pale
2020-05-26,10017,Lost for Words – 1.6,Pale
2020-05-28,0,[1.6 Spoilers] Flyer & App,Pale
2020-05-30,10066,Lost for Words – 1.7,Pale
2020-06-02,9548,Lost for Words – 1.8,Pale
2020-06-04,633,[1.8 Spoilers] Inventories,Pale
2020-06-06,12050,Lost for Words – 1.z,Pale
2020-06-09,7648,Stolen Away – 2.1,Pale
2020-06-11,735,[2.1 Spoilers] Interview Notes I,Pale
2020-06-13,10286,Stolen Away – 2.2,Pale
2020-06-16,9251,Stolen Away – 2.3,Pale
2020-06-18,0,[2.3 Spoilers] Spell Notes #2,Pale
2020-06-20,15883,Stolen Away – 2.4,Pale
2020-06-23,13017,Stolen Away – 2.5,Pale
2020-06-25,3702,[2.5 Spoilers] Gifts Collected,Pale
2020-06-27,12362,Stolen Away – 2.6,Pale
2020-06-30,12801,Stolen Away – 2.7,Pale
2020-07-02,0,[2.7 Spoilers] Location Diary,Pale
2020-07-04,12136,Stolen Away – 2.8,Pale
2020-07-07,11481,Stolen Away – 2.9,Pale
2020-07-09,0,[2.9 Spoilers] – End of the Trail,Pale
2020-07-11,16155,Stolen Away – 2.z,Pale
2020-07-14,9356,Out on a Limb – 3.1,Pale
2020-07-16,637,[3.1 Spoilers] Interview Notes 2,Pale
2020-07-18,12013,Out on a Limb – 3.2,Pale
2020-07-21,7002,Out on a Limb – 3.3,Pale
2020-07-23,0,[3.3 Spoilers] – Timelines,Pale
2020-07-25,9936,Out on a Limb – 3.4,Pale
2020-07-28,8789,Out on a Limb – 3.5,Pale
2020-07-30,0,[3.5 Spoilers] Gifts Received,Pale
2020-08-01,13441,Out on a Limb – 3.6,Pale
2020-08-04,8622,Out on a Limb – 3.7,Pale
2020-08-06,0,[3.7 Spoilers] Confiscated Items,Pale
2020-08-08,12419,Out on a Limb – 3.8,Pale
2020-08-11,10349,Out on a Limb – 3.9,Pale
2020-08-13,0,[3.9 Spoilers] SunnyDay Logs,Pale
2020-08-15,13213,Out on a Limb – 3.z,Pale
2020-08-18,9168,Leaving a Mark – 4.1,Pale
2020-08-20,1055,[4.1 Spoilers] BHI Information Packet,Pale
2020-08-22,11071,Leaving a Mark – 4.2,Pale
2020-08-25,12350,Leaving a Mark – 4.3,Pale
2020-08-27,234,[4.3 Spoilers] Packing Up,Pale
2020-08-29,9172,Leaving a Mark – 4.4,Pale
2020-09-01,9537,Leaving a Mark – 4.5,Pale
2020-09-03,3815,[4.5 Spoilers] Bedtime Reading,Pale
2020-09-05,11424,Leaving a Mark – 4.6,Pale
2020-09-08,8506,Leaving a Mark – 4.7,Pale
2020-09-10,0,[4.7 Spoilers] Student Guide,Pale
2020-09-12,8965,Leaving a Mark – 4.x,Pale
2020-09-15,10078,Leaving a Mark – 4.8,Pale
2020-09-17,7752,[4.8 Spoilers] Dossiers,Pale
2020-09-19,10186,Leaving a Mark – 4.9,Pale
2020-09-22,11255,Leaving a Mark – 4.10,Pale
2020-09-24,0,[4.10 Spoilers] Spell Notes #3,Pale
2020-09-26,8347,Back Away – 5.a,Pale
2020-09-29,9378,Back Away – 5.b,Pale
2020-10-01,0,[5.b Spoilers] Phone Conversations,Pale
2020-10-03,11292,Back Away – 5.1,Pale
2020-10-06,7895,Back Away – 5.2,Pale
2020-10-08,0,[5.2 Spoilers] Faerie Courts & Goblins,Pale
2020-10-10,11026,Back Away – 5.3,Pale
2020-10-13,10591,Back Away – 5.4,Pale
2020-10-15,0,[5.4 Spoilers] Outgoing Call,Pale
2020-10-17,13817,Back Away – 5.c,Pale
2020-10-20,11371,Back Away – 5.5,Pale
2020-10-22,0,[5.5 Spoilers] Kennet Newsletter,Pale
2020-10-24,12493,Back Away – 5.d,Pale
2020-10-27,8567,Cutting Class – 6.1,Pale
2020-10-29,8165,[6.1 Spoilers] Famulus Text,Pale
2020-10-31,9524,Cutting Class – 6.2,Pale
2020-11-03,8697,Cutting Class – 6.3,Pale
2020-11-05,8186,[6.3 Spoilers] Implementum Text,Pale
2020-11-07,9933,Cutting Class – 6.4,Pale
2020-11-10,10690,Cutting Class – 6.5,Pale
2020-11-12,6150,[6.5 Spoilers] Demesnes Text,Pale
2020-11-14,11494,Cutting Class – 6.6,Pale
2020-11-17,10317,Cutting Class – 6.7,Pale
2020-11-21,9207,Cutting Class – 6.8,Pale
2020-11-24,8675,Cutting Class – 6.9,Pale
2020-11-26,0,[6.9 Spoilers] Binding & Countermeasures,Pale
2020-11-28,11820,Cutting Class – 6.z,Pale
2020-12-01,10359,Gone Ahead – 7.1,Pale
2020-12-05,10948,Gone Ahead – 7.2,Pale
2020-12-08,10235,Gone Ahead – 7.3,Pale
2020-12-10,0,[7.3 Spoilers] – Borrowed Eyes Comic,Pale
