date,wordcount,chapter,work
2017-09-11,7723,Daybreak – 1.1,Ward
2017-11-14,4847,Daybreak – 1.2,Ward
2017-11-18,5395,Daybreak – 1.3,Ward
2017-11-21,5585,Daybreak – 1.4,Ward
2017-11-25,5058,Daybreak – 1.5,Ward
2017-11-28,5156,Daybreak – 1.6,Ward
2017-11-30,6636,Daybreak – 1.7,Ward
2017-12-01,5738,Daybreak – 1.8,Ward
2017-12-05,7571,Daybreak – Interlude 1,Ward
2017-12-09,7173,Flare – 2.1,Ward
2017-12-12,5897,Flare – 2.2,Ward
2017-12-16,6202,Flare – 2.3,Ward
2017-12-19,7319,Flare – 2.4,Ward
2017-12-23,10656,Flare – 2.5,Ward
2017-12-26,11236,Flare – 2.6,Ward
2017-12-30,6241,Flare – 2.7,Ward
2018-01-02,6566,Flare – Interlude 2,Ward
2018-01-06,5262,Glare – 3.1,Ward
2018-01-09,5896,Glare – 3.2,Ward
2018-01-13,9254,Glare – 3.3,Ward
2018-01-16,5379,Glare – 3.4,Ward
2018-01-20,6925,Glare – 3.5,Ward
2018-01-23,6842,Glare – 3.6,Ward
2018-01-25,8714,Glare – Interlude 3,Ward
2018-01-27,5773,Shade – 4.1,Ward
2018-01-30,8272,Shade – 4.2,Ward
2018-02-03,7642,Shade – 4.3,Ward
2018-02-06,9271,Shade – Interlude 4a,Ward
2018-02-08,10061,Shade – 4.4,Ward
2018-02-10,8810,Shade – 4.5,Ward
2018-02-13,10674,Shade – Interlude 4b,Ward
2018-02-17,8728,Shade – 4.6,Ward
2018-02-20,7328,Shade – 4.7,Ward
2018-02-22,10679,Shade – Interlude 4c,Ward
2018-02-24,7199,Shadow – 5.1,Ward
2018-02-27,5894,Shadow – 5.2,Ward
2018-03-03,6534,Shadow – 5.3,Ward
2018-03-06,6759,Shadow – 5.4,Ward
2018-03-10,8442,Shadow – 5.5,Ward
2018-03-13,10825,Shadow – Interlude 5d,Ward
2018-03-17,10395,Shadow – 5.6,Ward
2018-03-20,5865,Shadow – 5.7,Ward
2018-03-22,5891,Shadow – 5.8,Ward
2018-03-24,8621,Shadow – 5.9,Ward
2018-03-27,7076,Shadow – 5.10,Ward
2018-03-31,5303,Shadow – 5.11,Ward
2018-04-03,8058,Shadow – 5.12,Ward
2018-04-07,7317,Shadow – Interlude 5.x,Ward
2018-04-10,7643,Shadow – Interlude 5.y,Ward
2018-04-14,6026,Pitch – 6.1,Ward
2018-04-17,5529,Pitch – 6.2,Ward
2018-04-21,5843,Pitch – 6.3,Ward
2018-04-24,5710,Pitch – 6.4,Ward
