date,wordcount,chapter,work
2011-06-11,3000,Gestation 1.1,Worm
2011-06-14,2283,Gestation 1.2,Worm
2011-06-18,1964,Gestation 1.3,Worm
2011-06-21,2202,Gestation 1.4,Worm
2011-06-25,2777,Gestation 1.5,Worm
2011-06-28,2413,Gestation 1.6,Worm
2011-07-02,3181,Interlude 1,Worm
2011-07-05,1424,Insinuation 2.1,Worm
2011-07-09,2756,Insinuation 2.2,Worm
2011-07-12,2286,Insinuation 2.3,Worm
2011-07-16,2263,Insinuation 2.4,Worm
2011-07-19,2061,Insinuation 2.5,Worm
2011-07-23,3051,Insinuation 2.6,Worm
2011-07-26,3647,Insinuation 2.7,Worm
2011-07-30,2735,Insinuation 2.8,Worm
2011-08-02,1983,Insinuation 2.9,Worm
2011-08-06,3832,Interlude 2,Worm
2011-08-09,3652,Agitation 3.1,Worm
2011-08-13,3029,Agitation 3.2,Worm
2011-08-16,4320,Agitation 3.3,Worm
2011-08-20,3094,Agitation 3.4,Worm
2011-08-23,2045,Agitation 3.5,Worm
2011-08-27,1928,Agitation 3.6,Worm
2011-08-30,2553,Agitation 3.7,Worm
2011-09-03,2883,Agitation 3.8,Worm
2011-09-06,2438,Agitation 3.9,Worm
2011-09-10,2391,Agitation 3.10,Worm
2011-09-13,2909,Agitation 3.11,Worm
2011-09-17,2847,Agitation 3.12,Worm
2011-09-20,4943,Interlude 3,Worm
2011-09-24,2604,Shell 4.1,Worm
2011-09-27,2502,Shell 4.2,Worm
2011-10-01,3175,Shell 4.3,Worm
2011-10-04,3660,Shell 4.4,Worm
2011-10-08,2212,Shell 4.5,Worm
2011-10-11,2559,Shell 4.6,Worm
2011-10-11,4192,Interlude 3½ (Bonus),Worm
2011-10-15,2925,Shell 4.7,Worm
2011-10-18,2510,Shell 4.8,Worm
2011-10-22,2334,Shell 4.9,Worm
2011-10-25,2803,Shell 4.10,Worm
2011-10-29,4467,Shell 4.11,Worm
2011-11-01,2840,Interlude 4,Worm
2011-11-05,3845,Hive 5.1,Worm
2011-11-08,3044,Hive 5.2,Worm
2011-11-12,2975,Hive 5.3,Worm
2011-11-15,4350,Hive 5.4,Worm
